playerId,playerName,squadName,durationMins,centrePassReceivesTotal,feedWithAttemptTotal,feedsTotal,generalPlayTurnoversTotal,goalAssistsTotal,interceptPassThrownTotal,centrePassReceivesPer,feedWithAttemptPer,feedsPer,generalPlayTurnoversPer,goalAssistsPer,interceptPassThrownPer
80470,A.Brandley,GIANTS,643.7166666666667,79,3,3,20,2,13,1.8408720192631334,0.06990653237708101,0.06990653237708101,0.4660435491805401,0.04660435491805401,0.30292830696735107
80299,A.Brazill,Magpies,724.4,99,62,84,53,51,23,2.04997239094423,1.2838210933186085,1.7393705135284374,1.0974599668691332,1.0560463832136942,0.4762562120375483
1001356,A.Parmenter,GIANTS,605.1666666666666,69,5,8,18,3,5,1.710272652161939,0.12393280088129993,0.19829248141007988,0.44615808317267974,0.07435968052877995,0.12393280088129993
1022764,A.Sligar,GIANTS,40.483333333333334,7,3,3,1,3,0,2.593659942363112,1.1115685467270482,1.1115685467270482,0.37052284890901604,1.1115685467270482,0.0
1014127,A.Smith,Vixens,222.1,9,26,41,12,18,4,0.6078343088698784,1.755965781179649,2.7690229626294465,0.8104457451598379,1.2156686177397569,0.270148581719946
994215,A.Teague-Neeld,Fever,388.8833333333333,160,142,171,28,135,5,6.171516735953371,5.477221103158617,6.595808511550165,1.0800154287918398,5.207217245960656,0.19285989799854283
1013082,B.Hunt,Lightning,87.41666666666667,34,26,39,7,19,2,5.8341277407054335,4.461391801715919,6.69208770257388,1.2011439466158245,3.2602478551000953,0.34318398474737843
80343,C.Bruce,Fever,700.2666666666667,3,0,0,14,0,4,0.06426123381568927,0.0,0.0,0.2998857578065499,0.0,0.08568164508758569
1001357,C.Koenen,Lightning,673.2,53,34,53,38,32,11,1.1809269162210339,0.7575757575757576,1.1809269162210339,0.8467023172905526,0.7130124777183601,0.24509803921568626
1001709,E.Burgess,Swifts,20.966666666666665,1,0,0,1,0,0,0.7154213036565978,0.0,0.0,0.7154213036565978,0.0,0.0
1000231,E.Cosh,Fever,251.53333333333333,96,84,114,19,76,2,5.724887357540419,5.009276437847867,6.798303737079248,1.1330506228465413,4.532202491386165,0.1192684866154254
994213,E.Mannix,Vixens,359.8666666666667,0,0,0,4,0,2,0.0,0.0,0.0,0.16672841793256762,0.0,0.08336420896628381
1019168,E.McDonald,Thunderbirds,254.93333333333334,51,63,102,30,51,9,3.0007845188284517,3.7068514644351462,6.001569037656903,1.7651673640167362,3.0007845188284517,0.5295502092050209
994232,F.Themann,Magpies,22.6,0,0,0,2,0,1,0.0,0.0,0.0,1.327433628318584,0.0,0.663716814159292
993463,G.Bueta,Firebirds,611.0333333333333,254,161,243,61,134,14,6.235339043150947,3.952321204516939,5.965304675140473,1.497463313512629,3.289509573945775,0.3436801047406034
1015271,G.Horjus,Thunderbirds,654.1,208,104,146,46,91,12,4.76991285736126,2.38495642868063,3.348111909493961,1.0548845742241246,2.086836875095551,0.27518728023238037
80010,G.Mentor,Magpies,654.05,0,0,0,6,0,1,0.0,0.0,0.0,0.13760415870346304,0.0,0.022934026450577176
991905,G.Simpson,Firebirds,701.9,64,3,7,25,2,8,1.3677161988887305,0.06411169682290924,0.1495939592534549,0.5342641401909104,0.04274113121527283,0.17096452486109132
1014126,G.Sinclair,Magpies,619.5333333333333,177,181,218,42,170,15,4.285483697406651,4.38233078661358,5.278166361777683,1.0168944366727646,4.116001291294523,0.36317658452598733
999128,H.Housby,Swifts,615.8666666666667,216,145,199,38,140,10,5.260878978133795,3.531608573284261,4.846828317817709,0.925525005412427,3.4098289673089415,0.24355921195063868
1022297,H.Mundy,Vixens,618.45,171,146,247,59,114,22,4.147465437788018,3.541110841620179,5.990783410138248,1.4309968469560999,2.764976958525345,0.5335920446276983
999806,H.Petty,Thunderbirds,542.15,7,166,244,51,135,17,0.19367333763718528,4.592824863967537,6.75089919763903,1.411048602785207,3.7351286544314304,0.47034953426173565
998408,J.Anstiss,Fever,713.9833333333333,30,143,193,31,124,7,0.6302668129508159,3.004271808398889,4.054716496650249,0.651275706715843,2.605102826863372,0.14706225635519038
80826,J.Fowler,Fever,707.9666666666667,0,10,19,35,6,3,0.0,0.2118743820330524,0.4025613258627996,0.7415603371156834,0.12712462921983145,0.06356231460991572
80150,J.Harten,GIANTS,718.6666666666666,40,83,94,52,62,17,0.8348794063079777,1.7323747680890538,1.9619666048237476,1.085343228200371,1.2940630797773656,0.35482374768089053
1007220,J.Mi Mi,Firebirds,279.3666666666667,72,82,130,27,61,3,3.8658871256413314,4.402815893091517,6.980073976852404,1.4497076721154993,3.275265481446128,0.16107863023505548
1001716,J.Newton,Magpies,157.0,6,0,0,2,0,0,0.5732484076433122,0.0,0.0,0.1910828025477707,0.0,0.0
80701,J.Price,GIANTS,715.4166666666666,1,254,360,57,185,20,0.020966802562609202,5.325567850902737,7.548048922539313,1.1951077460687245,3.8788584740827026,0.41933605125218404
1011747,J.Ward,Magpies,695.3,36,0,0,23,0,9,0.7766431756076515,0.0,0.0,0.49618869552711065,0.0,0.19416079390191288
80577,J.Weston,Vixens,708.4,94,0,1,26,0,7,1.990400903444382,0.0,0.021174477696216828,0.5505364201016375,0.0,0.1482213438735178
1001708,K.Austin,GIANTS,19.816666666666666,7,2,3,3,1,0,5.298570227081581,1.5138772077375946,2.2708158116063917,2.2708158116063917,0.7569386038687973,0.0
80575,K.Browne,Magpies,644.65,231,249,325,57,211,26,5.375009695183433,5.79384161948344,7.562243077639029,1.3263010936166912,4.9096408904056466,0.6049794462111223
1001920,K.Dehaney,Vixens,372.9,0,0,0,6,0,1,0.0,0.0,0.0,0.2413515687851971,0.0,0.04022526146419952
1001701,K.Eddy,Vixens,600.75,38,0,1,10,0,5,0.9488139825218477,0.0,0.024968789013732832,0.24968789013732834,0.0,0.12484394506866417
1007219,K.Jenner,Firebirds,703.65,62,0,0,20,0,10,1.3216798124067364,0.0,0.0,0.4263483265828182,0.0,0.2131741632914091
993358,K.Manu'a,GIANTS,176.18333333333334,11,2,2,3,2,2,0.9365244536940687,0.17027717339892157,0.17027717339892157,0.25541576009838235,0.17027717339892157,0.17027717339892157
1001872,K.McCollin,Magpies,94.43333333333334,20,9,11,13,8,6,3.176844334627603,1.4295799505824214,1.7472643840451818,2.064948817507942,1.2707377338510413,0.953053300388281
