team,player,durationOn,durationOff,absPlusMinusOn,absPlusMinusOff,perPlusMinusOn,perPlusMinusOff,relAbsPlusMinus,relPerPlusMinus
Firebirds,R.Aiken,401.56666666666666,20.333333333333332,-28,-19,-1.0459035444509006,-14.016393442622952,-9,12.970489898172051
Firebirds,K.Jenner,412.3,9.616666666666667,-38,-9,-1.3824884792626728,-14.038128249566723,-29,12.65563977030405
Firebirds,T.Dwan,366.7,55.416666666666664,-8,-39,-0.327242977911099,-10.55639097744361,31,10.229147999532511
GIANTS,S.Poolman,376.4,45.083333333333336,14,-22,0.5579171094580234,-7.3197781885397415,36,7.877695297997765
Thunderbirds,S.Sterling,415.9,5.85,-16,-3,-0.5770617937004088,-7.692307692307693,-13,7.115245898607284
Vixens,K.Moloney,387.9,34.53333333333333,74,-9,2.8615622583139984,-3.9092664092664093,83,6.770828667580408
GIANTS,J.Price,413.3666666666667,8.016666666666667,-5,-3,-0.18143698088863802,-5.613305613305613,-2,5.431868632416975
Lightning,K.Pretorius,411.35,11.083333333333334,22,-3,0.8022365382277865,-4.06015037593985,25,4.862386914167637
Swifts,P.Hadley,355.78333333333336,67.21666666666667,41,-14,1.7285801283552724,-3.124225142573766,55,4.852805270929038
Vixens,E.Mannix,366.7,55.78333333333333,71,-6,2.9042814289610037,-1.6133851210038839,77,4.517666549964888
Lightning,S.Wood,386.73333333333335,35.88333333333333,26,-7,1.0084468195138772,-2.9261495587552253,33,3.9345963782691022
Swifts,S.Craig,359.03333333333336,63.9,37,-10,1.545817472843747,-2.347417840375587,47,3.893235313219334
Thunderbirds,G.Horjus,290.35,131.58333333333334,7,-26,0.36163251248493195,-2.9639012032932235,33,3.3255337157781555
Firebirds,M.Cassidy,346.05,75.96666666666667,-25,-22,-1.083658430862592,-4.344010530934621,-3,3.2603521000720286
Vixens,J.Weston,401.3833333333333,21.166666666666668,66,-1,2.4664701241539677,-0.7086614173228346,67,3.1751315414768024
Firebirds,T.Hinchliffe,356.23333333333335,65.85,-28,-19,-1.1790025264339852,-4.328018223234625,-9,3.1490156968006398
GIANTS,K.Austin,400.0833333333333,21.516666666666666,-4,-4,-0.14996875650906064,-2.78853601859024,0,2.6385672620811795
Fever,V.Charles,372.71666666666664,49.25,6,-7,0.2414702857398381,-2.1319796954314723,13,2.3734499811713103
Vixens,K.Eddy,410.81666666666666,11.683333333333334,65,0,2.3733214329181713,0.0,65,2.3733214329181713
Fever,J.Anstiss,401.28333333333336,20.766666666666666,2,-3,0.07476014453627944,-2.166934189406099,5,2.2416943339423785
Magpies,M.Jovic,178.43333333333334,123.31666666666666,-1,-19,-0.08406501027461237,-2.3111231247465875,18,2.227058114471975
GIANTS,C.Bassett,229.9,131.66666666666666,10,-13,0.6524575902566333,-1.4810126582278478,23,2.133470248484481
