team,year,coach
Fever,2008,Sue Gaudion
Fever,2009,Jane Searle
Fever,2010,Jane Searle
Fever,2011,Jane Searle
Fever,2012,Norma Plummer
Fever,2013,Norma Plummer
Fever,2014,Stacey Marinkovich
Fever,2015,Stacey Marinkovich
Fever,2016,Stacey Marinkovich
Fever,2017,Stacey Marinkovich
Fever,2018,Stacey Marinkovich
Fever,2019,Stacey Marinkovich
Fever,2020,Stacey Marinkovich
Fever,2021,Stacey Marinkovich
Firebirds,2008,Vicki Wilson
Firebirds,2009,Vicki Wilson
Firebirds,2010,Roselee Jencke
Firebirds,2011,Roselee Jencke
Firebirds,2012,Roselee Jencke
Firebirds,2013,Roselee Jencke
Firebirds,2014,Roselee Jencke
Firebirds,2015,Roselee Jencke
Firebirds,2016,Roselee Jencke
Firebirds,2017,Roselee Jencke
Firebirds,2018,Roselee Jencke
Firebirds,2019,Roselee Jencke
Firebirds,2020,Roselee Jencke
Firebirds,2021,Megan Anderson
Giants,2017,Julie Fitzgerald
Giants,2018,Julie Fitzgerald
Giants,2019,Julie Fitzgerald
Giants,2020,Julie Fitzgerald
Giants,2021,Julie Fitzgerald
Lightning,2017,Noeline Taurua
Lightning,2018,Noeline Taurua
Lightning,2019,Noeline Taurua
Lightning,2020,Kylee Byrne
Lightning,2021,Kylee Byrne
Magic,2008,Noeline Taurua
Magic,2009,Noeline Taurua
Magic,2010,Noeline Taurua
Magic,2011,Noeline Taurua
Magic,2012,Noeline Taurua
Magic,2013,Noeline Taurua
Magic,2014,Julie Fitzgerald
Magic,2015,Julie Fitzgerald
Magic,2016,Julie Fitzgerald
Magpies,2017,Kristy Keppich-Birrell
Magpies,2018,Kristy Keppich-Birrell
Magpies,2019,Rob Wright
Magpies,2020,Rob Wright
Magpies,2021,Nicole Richardson
Mystics,2008,Yvonne Willering
Mystics,2009,Te Aroha Keenan
Mystics,2010,Te Aroha Keenan
Mystics,2011,Debbie Fuller
Mystics,2012,Debbie Fuller
Mystics,2013,Ruth Aitken
Mystics,2014,Debbie Fuller
Mystics,2015,Debbie Fuller
Mystics,2016,Debbie Fuller
Pulse,2008,Kate Carpenter
Pulse,2009,Yvette McCausland-Durie
Pulse,2010,Yvette McCausland-Durie
Pulse,2011,Yvette McCausland-Durie
Pulse,2012,Robyn Broughton
Pulse,2013,Robyn Broughton
Pulse,2014,Robyn Broughton
Pulse,2015,Robyn Broughton
Pulse,2016,Tanya Dearns
Steel,2008,Robyn Broughton
Steel,2009,Robyn Broughton
Steel,2010,Robyn Broughton
Steel,2011,Robyn Broughton
Steel,2012,Janine Southby
Steel,2013,Janine Southby
Steel,2014,Janine Southby
Steel,2015,Janine Southby
Steel,2016,Noeline Taurua
Swifts,2008,Julie Fitzgerald
Swifts,2009,Julie Fitzgerald
Swifts,2010,Julie Fitzgerald
Swifts,2011,Julie Fitzgerald
Swifts,2012,Lisa Beehag
Swifts,2013,Lisa Beehag
Swifts,2014,Rob Wright
Swifts,2015,Rob Wright
Swifts,2016,Rob Wright
Swifts,2017,Rob Wright
Swifts,2018,Briony Akle
Swifts,2019,Briony Akle
Swifts,2020,Briony Akle
Swifts,2021,Briony Akle
Tactix,2008,Helen Mahon-Stroud
Tactix,2009,Helen Mahon-Stroud
Tactix,2010,Helen Mahon-Stroud
Tactix,2011,Helen Mahon-Stroud
Tactix,2012,Leigh Gibbs
Tactix,2013,Leigh Gibbs
Tactix,2014,Leigh Gibbs
Tactix,2015,Sue Hawkins
Tactix,2016,Sue Hawkins
Thunderbirds,2008,Jane Woodlands-Thompson
Thunderbirds,2009,Jane Woodlands-Thompson
Thunderbirds,2010,Jane Woodlands-Thompson
Thunderbirds,2011,Jane Woodlands-Thompson
Thunderbirds,2012,Jane Woodlands-Thompson
Thunderbirds,2013,Jane Woodlands-Thompson
Thunderbirds,2014,Jane Woodlands-Thompson
Thunderbirds,2015,Jane Woodlands-Thompson
Thunderbirds,2016,Michelle den Dekker
Thunderbirds,2017,Dan Ryan
Thunderbirds,2018,Dan Ryan
Thunderbirds,2019,Tania Obst
Thunderbirds,2020,Tania Obst
Thunderbirds,2021,Tania Obst
Vixens,2008,Julie Hoornweg
Vixens,2009,Julie Hoornweg
Vixens,2010,Julie Hoornweg
Vixens,2011,Julie Hoornweg
Vixens,2012,Julie Hoornweg
Vixens,2013,Simone McKinnis
Vixens,2014,Simone McKinnis
Vixens,2015,Simone McKinnis
Vixens,2016,Simone McKinnis
Vixens,2017,Simone McKinnis
Vixens,2018,Simone McKinnis
Vixens,2019,Simone McKinnis
Vixens,2020,Simone McKinnis
Vixens,2021,Simone McKinnis
