year,competition,premiers,runnerUp,minorPremiers
2008,ANZC,Swifts,Magic,Magic
2009,ANZC,Vixens,Thunderbirds,Vixens
2010,ANZC,Thunderbirds,Magic,Swifts
2011,ANZC,Firebirds,Mystics,Firebirds
2012,ANZC,Magic,Vixens,Vixens
2013,ANZC,Thunderbirds,Firebirds,Thunderbirds
2014,ANZC,Vixens,Firebirds,Vixens
2015,ANZC,Firebirds,Swifts,Firebirds
2016,ANZC,Firebirds,Swifts,Steel
2017,SSN,Lightning,Giants,Vixens
2018,SSN,Lightning,Fever,Giants
2019,SSN,Swifts,Lightning,Lightning
2020,SSN,Vixens,Fever,Vixens
2021,SSN,TBC,TBC,Giants
